site,course_description,course_name,course_section,course_section_credit,course_section_start,course_section_end,school,course_id,institution
www.pratt.edu,"This is an accelerated design shop course presenting the use of tools and the processes of forming, cutting, joining, and finishing. Subjects covered will also include the description of models - soft, presentation, and working.  The student will be expected to work on group and individual projects, utilizing appropriate tools, materials, and processes.  All work will be photographed, and a presentation document of all projects will be required.",17/SP - Model Shop,IND-615-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,IND-615,Pratt Institutions
www.pratt.edu,"The course explores color and light phenomenology in the three-dimensional world. Relationships between color and light as they affect our visual perception of size, shape, and proportion are explored from both practical and aesthetic perspectives. Projects examine color and light on forms such as product and packaging as well as in space, as in display and interiors.",17/SP - Graduate Color Workshop II (3-D),IND-614B-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,IND-614B,Pratt Institutions
www.pratt.edu,"This course is an analysis of human perception and the modes and attributes of light and color. The study of simultaneous contrast, or the way we perceive color changes as a continuous physical and psychological process, will be the key to the controlled experimental studies. Various media will be used in the process of developing creative methods for exploring ways we can manipulate the various aspects of color and light that affect our psycho-physiological equilibrium in challenging ways. Color vocabulary and glossary will accompany stages in development.",17/FA - Graduate Color Workshop I (2-D),IND-614A-01,2.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,IND-614A,Pratt Institutions
www.pratt.edu,"The objective of this course is to convey the information required in the design of plastic products.  A plastic product is analyzed and designed.  During the semester project, students review specific materials and processes related to the development of a design; assess alternative processes; and discuss a number of topics related to industrial design through guest lectures, field trips, and video presentations.  A project report will be required.",17/SP - Industrial Design Technology II,IND-612B-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,IND-612B,Pratt Institutions
www.pratt.edu,"In this graduate course, work is assigned on an individual basis under advisement by a faculty member, and in consultation with the department\'s chairperson. This course provides undergraduate students with the opportunity to pursue a project that goes beyond the existing curriculum or facilities.",17/SP - Independent Study,SOD-699-04,1.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,SOD-699,Pratt Institutions
www.pratt.edu,"The Branding and Messaging course explores the development and crafting of effective design solutions in the form of multi-component, multi-stage or cross-media projects.  Students will develop series and systems that include visual and verbal components to create a cohesive identity or brand across deliverables that either communicate, reinforce or build upon a message.  Students will be presented with various design and marketing problems crafted to help them explore how brand are perceived in various communication channels and identify where there is inconsistency or confusion on the marketplace.  They will develop branding strategy guidelines that ultimately deploy into a full  branding suite.",Branding and Messaging,,,,,School of School of Design,COMD-370,Pratt Institutions
www.pratt.edu,"Design Corps encourages and promotes the relationship between design practice and design education.  The Design Corps mission is to provide non-profit organizations with professional quality design services at no cost, while exposing graphic design students to valuable industry experience. Under the direction of experienced design faculty, students operate as a firm.  They create and present design options, provide finished files and monitor production of the final approved design. They work both as individuals and teams on a variety of print and web projects. Workload and schedule vary based on clients.  Students returning to the class take on a more active leadership role.",17/SP - Design Corps S,COMD-362-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,COMD-362,Pratt Institutions
www.pratt.edu,"Design Corps encourages and promotes the relationship between design practice and design education.  The Design Corps mission is to provide non-profit organizations with professional quality design services at no cost, while exposing graphic design students to valuable industry experience. Under the direction of experienced design faculty, students operate as a firm.  They create and present design options, provide finished files and monitor production of the final approved design. They work both as individuals and teams on a variety of print and web projects.  (Web design experience is not required.)  Projects, workload and schedule vary based on clients.  Students returning to the class take on a more active leadership role.",17/FA - Design Corps F,COMD-361-01,2.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,COMD-361,Pratt Institutions
www.pratt.edu,"This back-to-basics course presents a series of in-class challenges to exercise and strengthen creative muscles.  Students will compete to create visual solutions while dealing with material, time, and space constraints.  Assignments out-of-class include only the research of provided topics and content.  No computers are used and all supplies will be provided.  The objective of this course is simple; to strengthen a student\'s creative power to communicate visually, and prepare for inevitable challenges ahead",Creative Core,,,,,School of School of Design,COMD-351,Pratt Institutions
www.pratt.edu,"The objective of this course is to convey the information required in the design of products. A manufacturing  process is analyzed and used as the basis of design.  During the semester, students review specific materials and processes. Course includes guest lectures, field trips, and video presentations.  A project report will be required.",17/FA - Industrial Design Technology I,IND-612A-02,3.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,IND-612A,Pratt Institutions
www.pratt.edu,"This course explores issues of sustainability and social responsibility in product design with an emphasis on materials and supply chain flows. The importance of the designer\'s role in understanding the environmental and social consequences of creating and producing products will be emphasized. Studies on the impacts of production and consumption will be covered through readings, class discussions, and lecture materials. Student\'s critical, analytical, and research skills will be developed by evaluating the environmental impacts of various materials and processes. Coupled with an advanced academic rigor and contemporary dialogue, these evaluations will be used to create baseline models; their findings will be used to develop alternative concepts that reduce environmental impacts of products .",17/SP - Sustainability and Production:Research Tools and Strategies,IND-587-02,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,IND-587,Pratt Institutions
www.pratt.edu,"This is a survey of materials - metals, polymers, elastomers, glass, ceramics, paper and other engineering materials - and a discussion of processes - forming, casting, cutting, joining, and finishing. The survey, which at times includes field trips, demonstrations and the preparation of written reports is conducted from a product design point-of-view. The objective of the course is to give the student a comprehensive understanding of the above and an approach to a continuing study of the subject.",17/SP - Production Methods II,IND-586-04,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,IND-586,Pratt Institutions
www.pratt.edu,"This is a survey of materials - metals, polymers, elastomers, glass, ceramics, paper and other engineering materials - and a discussion of processes - forming, casting, cutting, joining, and finishing. The survey, which at times includes field trips, demonstrations and the preparation of written reports is conducted from a product design point-of-view. The objective of the course is to give the student a comprehensive understanding of the above and an approach to a continuing study of the subject.",17/FA - Production Methods I,IND-585-03,2.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,IND-585,Pratt Institutions
www.pratt.edu,"In this undergraduate course, work is assigned on an individual basis under advisement by a faculty member, and in consultation with the department\'s chairperson. This course provides undergraduate students with the opportunity to pursue a project that goes beyond the existing curriculum or facilities.",17/SP - Independent Study,SOD-499-01,1.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,SOD-499,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",17/SU - Interior Design Graduate Internship,INT-9603-01,3.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,INT-9603,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",17/SP - Interior Design Graduate Internship,INT-9602-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,INT-9602,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",Interior Design Graduate Internship,,,,,School of School of Design,INT-9600,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",17/SU - Interior Design Graduate Internship,INT-9601-01,1.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,INT-9601,Pratt Institutions
www.pratt.edu,"These courses explore the art of image making and visual storytelling for young readers.  Studied in-depth are the creation, style, layout, pacing of sequential art and accompanying copywriting of art for children.",17/SP - Illustration: Children's Books II,COMD-346-02,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,COMD-346,Pratt Institutions
www.pratt.edu,"These courses explore the art of image making and visual storytelling for young readers.  Studied in-depth are the creation, style, layout, pacing of sequential art and accompanying copywriting of art for children.",17/FA - Illustration: Children's Books I,COMD-345-02,2.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,COMD-345,Pratt Institutions
www.pratt.edu,These courses continue the instruction and practice of drawing and painting media as they are used in the creation of representational imagery for the communication of ideas and information. Emphasis is placed on the use of media as they relate to composition and print reproduction qualities.,17/SP - Illustration Methods and Media IV,COMD-336-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,COMD-336,Pratt Institutions
www.pratt.edu,These courses continue the instruction and practice of drawing and painting media as they are used in the creation of representational imagery for the communication of ideas and information. Emphasis is placed on the use of media as they relate to composition and print reproduction qualities.,17/FA - Illustration Methods and Media III,COMD-335-01,2.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,COMD-335,Pratt Institutions
www.pratt.edu,"This course uses the student\'s current design classes as a point of reference for furthering drawing skills. Emphasis is placed on drawing as an integral part of the design process. Each work session focuses on the student\'s individual needs in the areas of ideation scrolling, developing design ideas on paper, rendering techniques, and graphic design.",Drawing Forum,,,,,School of School of Design,IND-547,Pratt Institutions
www.pratt.edu,"Digital Ideation provides students with theoretical principles and practical examples of a wide variety of digital technology, tools, software and methods which designers are likely to encounter in current practice.  These include solid and surface modeling, 3-D rendering, animation, and output for rapid prototyping.  This course will afford students the ability to make the best use of digital tools and methods suited to a particular project.  Emphasis is places on ideation skill in the digital environment, bringing initial concepts to sophisticated realization.",17/SP - Digital Ideation,IND-543-02,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,IND-543,Pratt Institutions
www.pratt.edu,"Students learn an advanced, two-dimensional drafting software program running on high-end, PC-type equipment. Differences between product and environmental drafting are reviewed. Students learn to develop a library of component parts and patterns which are used as standard symbols for material specification. In addition to producing a complete set of product drawings, text formatting, specification layout, technical documentation, and presentation manuals relating to the draftings are covered.",17/SU - CAID II: Solid Works/Pro E.,IND-542-02,2.00000,Jun  7 2017 ,Jun 21 2017  ,School of School of Design,IND-542,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",17/SU - Interior Design Undergraduate Internship,INT-9403-01,3.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,INT-9403,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",17/SU - Interior Design Undergraduate Internship,INT-9402-01,2.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,INT-9402,Pratt Institutions
www.pratt.edu,"A thorough overview of Computer-Aided Industrial Design (CAID), from simple software programs for PC-type hardware to high-end, state-of-the-art workstations.  Field trips and guest lecturers provide in-depth presentations about this newly developing area of industrial design.  CAID is evaluated in relation to traditional industrial design methodologies.  Students are introduced to desktop CAID with PC-type hardware and a product-drafting program.",17/SU - CAID: Solid Works,IND-541-04,2.00000,Jun 27 2017 ,Jul 18 2017  ,School of School of Design,IND-541,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",17/SU - Interior Design Undergraduate Internship,INT-9401-01,1.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,INT-9401,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",17/SU - Undergraduate Internship,INT-9400-01,0.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,INT-9400,Pratt Institutions
www.pratt.edu,"In this second semester of thesis, students continue their investigations of Independent problems based on individual thesis proposals, submitted by the candidate and approved by the thesis advisor.  Projects represent design solutions of significant scope and complexity and must show mature correlation between all phases of design and construction based on supportive research.  Students may also elect to pursue an academic research-oriented approach to study emerging issues in the interior built environment.",17/SP - MFA Thesis II,INT-799B-80,6.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,INT-799B,Pratt Institutions
www.pratt.edu,For administrative use only.,Library Science Electives/Transfer,,,,,School of School of Information,LIS-ELEC,Pratt Institutions
www.pratt.edu,"Research studies dealing with a problem of particular interest to the student and related to his/her area of specialization are completed under the direction of a member of the faculty. Six credits required; may be taken as one unit or in two, three credit units.",Independent Study,,,,,School of School of Information,LIS-799,Pratt Institutions
www.pratt.edu,"This course includes study of the organizational transitions and culture changes required for successful program implementation, multiple types of technology and their roles in the management of electronic records, current practices in the management of electronic records in business applications, e-mail, instant messaging, websites, and desktop computers and preservation of digital records.  Also covered are electronic record system inventories and implementation of retention and disposition systems for document management repositories, databases, e-mail, and Web content.",17/SP - Independent Study,LIS-699-05,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Information,LIS-699,Pratt Institutions
www.pratt.edu,"This 3-credit course fractures experiential hands-on learning and experience in cultural settings such as libraries, archives, museums, non-profits, publishing and information design firms.  Students engage in professional-level work, while relating theory and research to practice.  Importantly, the course is designed to provide opportunities to apply and develop the knowledge and skills acquired through coursework in a real work setting.  Completion of the following course elements are required: 1)120 hours of fieldwork and research in a workplace setting selected by the student and related to his/her career goals, 2) maintain a journal of on-site hours, activities and reflections, 3) attend four 2 1/2 -hour seminar sessions (10 hours) and 4) produce a practicum project drawn from on-site work and a project presentation at the final course session (20 hours).  The course grade is based on the site supervisor\'s evaluation and the instructor\'s assessment of the journal, practicum project and class participation.  The Practicum/Seminar is required for Advanced Certificate programs within the MSLIS in archives and in museum libraries.",17/SU - Practicum/Seminar Information Science,LIS-698-01,3.00000,May 16 2017 ,Jul 21 2017  ,School of School of Information,LIS-698,Pratt Institutions
www.pratt.edu,Covers current issues and topics. New or experimental courses are taught several times to assess the need for them in the regular curriculum.,17/SU - Special Topics,LIS-697-01,3.00000,May 19 2017 ,Jul 14 2017  ,School of School of Information,LIS-697,Pratt Institutions
www.pratt.edu,This course introduces the fundamentals of dimensional construction while simultaneously integrating many design disciplines and principles. Imaginative use of materials and surface graphics are encouraged. Marketing and production problems are explored.,Package Design II,,,,,School of School of Design,COMD-324,Pratt Institutions
www.pratt.edu,This course introduces the fundamentals of dimensional construction while simultaneously integrating many design disciplines and principles. Imaginative use of materials and surface graphics are encouraged. Marketing and production problems are explored.,17/SP - Package Design I,COMD-323-03,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,COMD-323,Pratt Institutions
www.pratt.edu,"Through the presentation of practical illustration assignments (such as poster, editorial, advertising and product illustrations), emphasis is placed on conceptual thinking and the creation of original and personal solutions through the students\' own choice of media. Assignments include problems that demand provocative, entertaining and stimulating results.",17/SP - Illustration IV,COMD-322-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,COMD-322,Pratt Institutions
www.pratt.edu,"Students learn how to develop a 3-D electronic mock-up of a product, using both simple and complex surface modeling techniques. Color, texture, patterning, lighting and relativity of surface are employed to create realistic images of the product. Transference of files through a neutral format such as IGES to drafting/plotting software and devices is also covered.",CAID II,,,,,School of School of Design,IND-540,Pratt Institutions
www.pratt.edu,"Through a series of hands-on exercises, students learn to design in both 2-D planes and in 3-D space using point, line, curve and line drawing elements to create both simple and complex wireframes of a product design. Image manipulation and color also are taught. The product is then redesigned using solids modeling geometry employing Boolean operations. Shading, color, and rendering studies are performed on the 3-D model.",CAID I: Alias,,,,,School of School of Design,IND-539,Pratt Institutions
www.pratt.edu,"Through the presentation of practical illustration assignments (such as poster, editorial, advertising and product illustrations), emphasis is placed on conceptual thinking and the creation of original and personal solutions through the students\' own choice of media. Assignments include problems that demand provocative, entertaining and stimulating results.",17/FA - Illustration III,COMD-321-01,2.00000,Aug 28 2017 ,Dec 22 2017  ,School of School of Design,COMD-321,Pratt Institutions
www.pratt.edu,"This course deals with design techniques related to toy design, encompassing building, color, graphics, simple mechanics, and drafting. These will be applied through use of plastic, wood, foam, wire, paint, pencils, markers and vacuum forming. Special consideration is given to the understanding of the child.  The safety concerns as well as the educational and fun value of the toy will be considered.  Children will judge the student\'s toy at the end of the semester.",17/FA - Toy Design,IND-517-01,2.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,IND-517,Pratt Institutions
www.pratt.edu,"This course is offered to seniors who wish to pursue their own special talents or inventive faculties. The resulting forms must be designed and built as complete, full-size, and useful prototypes - that is, the first of a series. The only restrictions on form are simple and logical: to be able to execute the project with available materials, tools and personal finance. Furniture, mass production ceramics, lighting, portable structures, and textiles are potential projects.",17/SU - Prototypes II,IND-516-02,2.00000,May 22 2017 ,Jul 12 2017  ,School of School of Design,IND-516,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the oppportunity for an in-depth reflection on the internship experience.",17/SU - Internship,DES-9603-01,3.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,DES-9603,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional skills in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",17/SU - Internship,DES-9602-01,2.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,DES-9602,Pratt Institutions
www.pratt.edu,"The internship is a learning experience at a discipline-related professional site. It provides students with an opportunity to apply academic knowledge and skills in a practical setting, while obtaining new knowledge and skills in preparation for professional work or graduate school. Students experience the application of coursework lessons into a real-life context, thus enriching their education. They deepen their knowledge about important applied aspects of their discipline, enhance their professional sklls in a real-world context, build their professional network, and inform their career choices. Additional faculty-supervised activities provide the opportunity for an in-depth reflection on the internship experience.",17/SU - Internship,DES-9601-01,1.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,DES-9601,Pratt Institutions
www.pratt.edu,"Students undertake independent problems based on individual thesis proposals, submitted by the candidate and approved  by the thesis advisor.  Projects represent design solutions of significant scope and complexity and must show mature correlation between all phases of design and construction based on supportive research.  Students may also elect to pursue an academic research-oriented approach to study emerging issues in the interior built environment.",17/FA - MFA Thesis I,INT-799A-80,6.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,INT-799A,Pratt Institutions
www.pratt.edu,"Intended for those who desire to enter teaching at the college-level, students will explore and observe multiple teaching pedagogies and strategles, design education methodologies, and evaluation techniques in order to develop a knowledge base for curricular and project development, as well as techniques for effective and appropriate course preparation and instruction.",17/SP - Teaching Practicum,INT-733-01,1.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,INT-733,Pratt Institutions
www.pratt.edu,The interior Options Lab provides the opportunity for further hands on studio exploration in selected areas of interest.  Projects will explore detail areas of interior Design rather than full interior Environments.  Each options lab section will uniquely address issues and practices relative to the interior Design Graduate concentration areas.,17/SU - Interior Options Lab,INT-731-02,3.00000,May 15 2017 ,Jul 21 2017  ,School of School of Design,INT-731,Pratt Institutions
www.pratt.edu,"Students will learn how the natural and constructed interior environment affects human comfort.  Students will explore the science and technology for measuring and maintaining comfort conditions and ecological balance within buildings, with an emphasis on sustainable design and systems integration.  Through the use of software and 3-D modeling students will learn develop sustainable design strategies for the ambient environment.",17/SP - Environmental Technology and Sustainable Elements,INT-726-02,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,INT-726,Pratt Institutions
www.pratt.edu,"This course will study the construction documentation process through the production of working drawings, models and schedules.  Through a series of iterative steps, the evolution of a design from the concept through the model and drawings to the final fabrication and construction phase will be understood.  Students will explore new technologies in design documentation and fabrication, putting together a documentation set using BIM (an acronym that stands for "" Building Information Modeling"") and exploring digital fabrication techniques.",17/SP - Construction and Fabrication,INT-724-01,3.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,INT-724,Pratt Institutions
www.pratt.edu,"This course covers the development of advanced visualization interfaces, including related techniques of data storage, manipulation, and analysis.  Through practical, hands-on activities, students will learn best practices for working with large and complex datasets and communication then through user-centered interfaces.  Over the course of the semester, students will become familiar with relevant programming languages and apply them to produce an interactive, web-based visualization project.",Advanced Projects in Visualization,,,,,School of School of Information,LIS-696,Pratt Institutions
www.pratt.edu,"This course will survey the important issues in the field, look at case studies, and visit existing collections in order to have a sense of the variety of strategies employed to organize photographs and make them retrievable.  The class will employ practical exercises to enforce key principles of photography organization and cataloging, drawing upon the surveyed collection practices, and exploring best practices.",17/SU - Photography Collections,LIS-695-01,3.00000,Jun 19 2017 ,Jul 19 2017  ,School of School of Information,LIS-695,Pratt Institutions
www.pratt.edu,"This course consists of 20 days of full-time experience in Grade 7-12 level library media centers in a variety of communities where library media specialists interact with classroom teachers, parents/caregivers, and students who are socio-economically disadvantaged, English language learners, disabled, or have special needs.  Students attend a weekly seminar in which the needed knowledge base in the state learning standards is related to library media programs and services for various developmental stages of adolescents, and how the library media specialist can enhance and support student growth and learning.  Emphasis is on the techniques for building collaborative learning environments wherein the learning and independence of students with disabilities and the listening, speaking, reading and writing skills of all students at the adolescent level are enhanced.",Student Teaching: 7-12,,,,,School of School of Information,LIS-692,Pratt Institutions
www.pratt.edu,"The course will provide an introduction to building and maintaining collections and services related to visual media, primarily moving images, sound and ephemera.  Discussions will survey key components such as the history of film and media in library collections, collection development, access, equipment, copyright, emerging technologies and management of non-print formats.",Film and Media Collections,,,,,School of School of Information,LIS-694,Pratt Institutions
www.pratt.edu,"The course will provide an overview of service to children and teens with disabilities in public, school and specialized librariesw.  Students will learn about the needs of youth with disabilities and the barriers they experience in the library. By the end of the semester they eill be able to evaluate, plan and implement barrier-free library services for children and teens with all types of disabilities.  Topics to be addressed include types of disabiloties, legal issues, special education services, assessment of existing library services, the theoretical framework and practical guidelined for inclusion, community needs assessment, the literature of disability, assistive technology, program planning, best practices, community partnerships and the library as a family resource center.",Serving Children and Youth With Disabilities,,,,,School of School of Information,LIS-691,Pratt Institutions
www.pratt.edu,"Illustrated Typography is a course designed to enhance sensitivity to and bridge the gap between textual design and image making. Because of....!:!!Linherent relationship of message and image in illustration, the treatment of words in and around the picture can make or break the communication. In this course students will address concerns of layout and typeface selection as well as their own generated type designs to enhance the editorial, conceptual, and narrat ive concerns of the illustration.",17/SP - Illustrated Typography,COMD-319-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,COMD-319,Pratt Institutions
www.pratt.edu,"These are courses in the development and presentation of visual and verbal messages that move consumers to action. Although they include many of the same design principles practiced in the graphic design courses, they require additional emphasis on creative writing skills. The total responsibilities of the art director are explored - from conceptualization and integrated design to personal interaction with clients, copywriters, photographers and illustrators.",17/SP - Advertising II,COMD-318-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,COMD-318,Pratt Institutions
www.pratt.edu,"These are courses in the development and presentation of visual and verbal messages that move consumers to action. Although they include many of the same design principles practiced in the graphic design courses, they require additional emphasis on creative writing skills. The total responsibilities of the art director are explored - from conceptualization and integrated design to personal interaction with clients, copywriters, photographers and illustrators.",17/SP - Advertising I,COMD-317-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,COMD-317,Pratt Institutions
www.pratt.edu,"Graphic Design courses explore the creative display, organization and communication of ideas and information through word and image. The design principles covered in these courses apply to all presentation media - print, computer, film/video, exhibit, and environmental graphics. These courses are more advanced in their coverage of information design problems than those of COMD-201 &amp; COMD-202 (Visual Communication I &amp; II) in that they require a higher level of typographic skill and communication ability with pictorial information. They are not ""layout"" courses. Although presentation on the page or video monitor is very important, the primary focus of these courses is on the development of the communication content.",17/SP - Graphic Design II,COMD-316-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,COMD-316,Pratt Institutions
www.pratt.edu,"This course is directed toward the understanding of the concept of negative volume (space) in relation to interior and exterior environmental situations.  The first semester is devoted to a series of abstract visual experiences designed to develop awareness of space and of the relationship of forms to a particular negative volume.  In the second semester, the student applies theory to a project (shop, restaurant, outdoor theater, exhibition space, or some other area of our environment) and brings it to finished model form.",17/SP - Applied Space Methodology,IND-510-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,IND-510,Pratt Institutions
www.pratt.edu,"This course is offered to seniors who wish to pursue their own special talents or inventive faculties. The resulting forms must be designed and built as complete, full-size, and useful prototypes - that is, the first of a series. The only restrictions on form are simple and logical: to be able to execute the project with available materials, tools and personal finance. Furniture, mass production ceramics, lighting, portable structures, and textiles are potential projects.",17/FA - Prototypes I,IND-515-13,2.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,IND-515,Pratt Institutions
www.pratt.edu,"This course is directed toward the understanding of the concept of negative volume (space) in relation to interior and exterior environmental situations.  The first semester is devoted to a series of abstract visual experiences designed to develop awareness of space and of the relationship of forms to a particular negative volume.  In the second semester, the student applies theory to a project (shop, restaurant, outdoor theater, exhibition space, or some other area of our environment) and brings it to finished model form.",17/FA - Advanced Space Methodology,IND-509-02,2.00000,Aug 28 2017 ,Dec 18 2017  ,School of School of Design,IND-509,Pratt Institutions
www.pratt.edu,"This course explores issues of sustainability and social responsibility in product design with an emphasis on materials and supply chain flows.  The importance of the designer\'s role in understanding the environmental and social consequences of creating and producing products will be emphasized.  Intended for the advanced undergraduate, studies on the impacts of production and consumption will be covered through readings, class discussions, and lecture materials.  Students will be introduced to tools to assess the environmental impacts of products and services to create baseline models; their findings will be used to develop alternative concepts that reduce environmental impacts of products.",17/SP - Sustainability and Production: Research Tools and Strategies,IND-487-01,2.00000,Jan 17 2017 ,May 12 2017  ,School of School of Design,IND-487,Pratt Institutions
